pl_name,pl_rade,pl_bmasse
"TOI-1203 b",1.52000000,3.51000000
"TOI-1203.01",2.91800000,7.39000000
"HAT-P-11 b",4.36000000,23.40000000
"TOI-969 b",2.76500000,9.10000000
"WASP-93 b",17.90077300,467.21010000
"Kepler-289 c",11.23000000,157.18000000
"HAT-P-55 b",13.24903800,184.97706000
"TOI-6029 b",14.39233122,519.64944544
"TOI-1243 b",2.33000000,7.70000000
"TOI-5388.01",0.99000000,2.20000000
"TOI-4600 b",6.80000000,959.84178914
"WASP-47 b",12.64000000,363.60000000
"TOI-181 b",6.95590000,46.16870000
"TOI-469.01",3.41000000,9.10000000
"GJ 9827 c",1.24100000,1.30000000
"K2-108 b",5.28000000,59.40000000
"HIP 65 A b",22.75427000,1021.18779000
"TOI-1472 b",4.15964583,16.50000000
"TOI-2128 b",2.08874836,4.50000000
"TOI-561 c",2.86500000,5.93000000
"WASP-41 b",12.32990000,270.15550000
"TOI-2449 b",11.24000000,222.00000000
"WASP-138 b",12.21781000,387.75260000
"K2-18 b",2.46100000,7.20000000
"K2-266 c",0.70500000,0.29013072
"Kepler-289 c",11.59000000,132.00000000
"Kepler-102 d",1.18000000,3.80000000
"GJ 3470 b",4.83000000,13.90000000
"TOI-3856 b",13.59649359,171.62733978
"TOI-837 b",9.16894621,120.45696625
"TOI-5720 b",1.09000000,4.30000000
"HATS-1 b",14.59400000,589.55000000
"TOI-4641 b",8.18255591,1229.99593509
"NGTS-21 b",14.90794433,750.07504052
"TOI-2295 b",16.47720163,278.09985612
"TOI-2031 A b",14.20177855,254.26272560
"WASP-82 b",18.15858000,371.86110000
"HD 21520 b",2.69700000,17.70000000
"TOI-1011 b",1.45000000,4.04000000
"CoRoT-4 b",13.33871000,223.43449000
"HAT-P-37 b",13.20400000,371.52800000
"GJ 9827 c",1.26900000,2.42000000
"KOI-1599.01",1.90000000,4.60000000
"LTT 1445 A c",1.60000000,1.00000000
"Kepler-43 b",13.45000000,1026.55000000
"WASP-29 b",8.69818400,77.55052000
"WASP-29 b",8.63093000,73.10090000
"WASP-29 b",8.87752800,77.86835000
"HD 221416 b",9.17000000,60.50000000
"K2-285 e",1.95000000,10.70000000
"K2-27 b",4.74000000,30.20000000
"TOI-4529 b",1.77000000,4.90000000
"TOI-2986 b",9.29224500,96.61983573
"TOI-756 b",2.81000000,9.83000000
"TOI-1601 b",13.88795100,314.65170000
"HD 110113 b",2.05000000,4.55000000
"WASP-66 b",15.58100000,737.33500000
"TOI-1273 b",11.09689089,70.55790635
"TOI-1266 b",2.52000000,4.46000000
"TOI-132 b",3.42000000,22.40000000
"TOI-561 e",2.67000000,16.00000000
"GJ 9827 d",1.89000000,3.02000000
"TOI-2207 b",11.15293580,203.41018048
"TRAPPIST-1 b",1.08600000,0.85000000
"WASP-72 b",14.24000000,491.37630000
"WASP-72 b",14.23543000,459.58218000
"WASP-100 b",18.94321000,638.83830000
"K2-290 c",11.27625400,246.00042000
"XO-3 b",21.85751237,4211.22639275
"WASP-19 b",15.86070769,366.77398168
"WASP-4 b",15.12091496,381.39408840
"K2-79 b",3.99000000,3.80000000
"K2-222 b",2.41000000,5.70000000
"WASP-4 b",15.51995468,380.56773454
"WASP-19 b",15.80466279,362.00655557
"WASP-19 b",15.80469000,362.32620000
"CoRoT-2 b",16.36514000,1134.65310000
"WASP-12 b",20.45642500,454.49690000
"WASP-5 b",13.17057500,506.93885000
"TOI-220 b",3.03000000,13.80000000
"TrES-3 b",14.62774500,607.05530000
"XO-3 b",13.98883200,3759.92890000
"WASP-99 b",12.33000000,883.53000000
"TrES-3 b",14.97500000,607.03000000
"WASP-5 b",13.12573900,520.28771000
"WASP-5 b",12.18400000,502.15000000
"WASP-12 b",20.10000000,448.00000000
"CoRoT-2 b",16.42116000,1051.97300000
"WASP-19 b",15.42358400,370.27195000
"WASP-45 b",11.11932800,318.46566000
"WASP-4 b",15.03126900,397.28750000
"WASP-12 b",20.84874000,638.83830000
"WASP-114 b",15.00885100,562.24127000
"WASP-19 b",15.60292800,339.76027000
"XO-3 b",13.64100000,3747.06000000
"WASP-4 b",14.90797000,375.03940000
"WASP-45 b",12.77826000,330.54320000
"WASP-99 b",12.32990000,889.92400000
"TrES-3 b",14.97522400,572.41183000
"WASP-12 b",20.45642500,441.78370000
"WASP-19 b",14.68379000,367.72931000
"WASP-4 b",14.90797000,371.86110000
"WASP-5 b",13.17057500,505.34970000
"CoRoT-2 b",16.43239400,1048.83900000
"WASP-45 b",10.60371400,306.38812000
"XO-3 b",15.80469000,2316.98070000
"WD 1856+534 b",10.60369574,1652.70771640
"K2-79 b",4.09000000,11.80000000
"K2-222 b",2.35000000,8.00000000
"TOI-3474 b",14.67255574,193.87532827
"HD 63433 b",2.16351593,37.30000000
"NGTS-18 b",13.56286665,129.99181846
"K2-180 b",2.24179614,11.44182265
"TOI-561 d",2.61500000,13.33000000
"HIP 29442 c",1.58000000,4.50000000
"HIP 29442 c",1.55100000,4.50000000
"TOI-836.01",2.58700000,9.60000000
"KELT-24 b",14.25784800,1646.35940000
"WASP-31 b",17.22823300,151.92274000
"HD 191939 c",3.18237760,6.10000000
"Kepler-10 b",1.47000000,3.33000000
"WASP-195 b",10.31226224,33.05415433
"TOI-469.01",3.42633318,5.90000000
"LP 890-9 b",1.32000000,13.20000000
"TOI-469.01",3.48000000,9.60000000
"TOI-4336 A b",2.13700000,3.33000000
"TOI-4336 A c",1.25100000,1.55000000
"TOI-4342 b",2.32900000,7.30000000
"TOI-4342 c",2.34900000,4.80000000
"TOI-469.01",3.36000000,5.80000000
"HIP 29442 d",1.53800000,5.14000000
"L 168-9 b",1.63000000,4.07000000
"HATS-3 b",15.47962900,340.39593000
"Kepler-93 b",1.62900000,3.60067419
"TOI-564 b",11.43318000,464.98529000
"Kepler-19 b",2.20900000,20.30000000
"Kepler-412 b",15.03126900,299.07803000
"TOI-1347 c",1.67761121,9.00000000
"TOI-2345 c",2.45100000,7.27000000
"Kepler-10 c",2.35000000,13.98000000
"TRAPPIST-1 g",1.14800000,1.14800000
"TOI-178 g",2.87000000,3.94000000
"WASP-73 b",13.00244000,597.20257000
"HAT-P-57 b",15.83831700,587.98550000
"TOI-2134 c",7.27000000,41.89000000
